treated,age,education,black,hispanic,married,re78
FALSE,54,12,FALSE,FALSE,TRUE,0
FALSE,38,12,FALSE,FALSE,TRUE,0
FALSE,37,13,FALSE,FALSE,TRUE,0
FALSE,27,17,FALSE,FALSE,TRUE,0
FALSE,51,12,FALSE,FALSE,TRUE,0
FALSE,39,12,FALSE,FALSE,TRUE,0
FALSE,55,14,FALSE,FALSE,TRUE,0
FALSE,54,13,FALSE,FALSE,TRUE,0
FALSE,54,13,FALSE,FALSE,TRUE,0
FALSE,34,12,FALSE,FALSE,TRUE,0
FALSE,50,14,FALSE,FALSE,TRUE,0
FALSE,50,12,FALSE,FALSE,TRUE,0
FALSE,21,14,FALSE,TRUE,FALSE,3.6573733
FALSE,26,12,FALSE,FALSE,TRUE,0
FALSE,21,13,FALSE,FALSE,FALSE,2.6599078
FALSE,23,16,FALSE,FALSE,TRUE,0
FALSE,21,15,FALSE,FALSE,FALSE,14.777266
FALSE,23,14,FALSE,FALSE,FALSE,5.3198157
FALSE,27,16,FALSE,FALSE,TRUE,0
FALSE,25,12,FALSE,FALSE,TRUE,26.599078
FALSE,27,17,FALSE,FALSE,FALSE,7.3886329
FALSE,55,12,FALSE,FALSE,TRUE,10.344086
FALSE,20,12,FALSE,FALSE,TRUE,0
FALSE,18,12,FALSE,FALSE,TRUE,19.210445
FALSE,27,12,FALSE,FALSE,TRUE,20.688172
FALSE,28,16,FALSE,FALSE,TRUE,36.943164
FALSE,36,12,TRUE,FALSE,TRUE,11.821813
FALSE,33,13,TRUE,FALSE,TRUE,20.688172
FALSE,36,12,FALSE,FALSE,TRUE,0
FALSE,27,13,FALSE,FALSE,TRUE,29.554531
FALSE,45,17,FALSE,FALSE,TRUE,17.732719
FALSE,45,17,FALSE,FALSE,TRUE,17.732719
FALSE,45,17,FALSE,FALSE,TRUE,17.732719
FALSE,31,12,FALSE,FALSE,TRUE,0
FALSE,34,12,FALSE,FALSE,TRUE,63.542243
FALSE,34,12,FALSE,FALSE,TRUE,63.542243
FALSE,47,14,FALSE,FALSE,TRUE,22.165899
FALSE,35,16,FALSE,FALSE,TRUE,17.732719
FALSE,43,17,FALSE,FALSE,TRUE,29.554531
FALSE,25,12,TRUE,FALSE,TRUE,1.2206022
FALSE,29,15,FALSE,FALSE,FALSE,22.313671
FALSE,31,12,FALSE,FALSE,TRUE,20.688172
FALSE,52,12,FALSE,FALSE,TRUE,22.165899
FALSE,22,16,FALSE,FALSE,FALSE,32.509985
FALSE,53,15,FALSE,FALSE,TRUE,28.076805
FALSE,29,17,FALSE,FALSE,TRUE,36.898833
FALSE,31,13,FALSE,FALSE,TRUE,39.898618
FALSE,35,12,FALSE,FALSE,TRUE,29.554531
FALSE,29,16,FALSE,FALSE,TRUE,23.643625
FALSE,39,12,FALSE,FALSE,TRUE,31.032258
FALSE,37,14,FALSE,FALSE,TRUE,0
FALSE,30,14,FALSE,FALSE,TRUE,22.165899
FALSE,43,17,FALSE,FALSE,TRUE,41.376344
FALSE,32,17,FALSE,FALSE,TRUE,39.898618
FALSE,44,12,FALSE,FALSE,TRUE,81.274962
FALSE,32,16,FALSE,FALSE,TRUE,18.609011
FALSE,43,12,TRUE,FALSE,TRUE,5.9109063
FALSE,24,12,TRUE,FALSE,FALSE,10.344086
FALSE,22,13,FALSE,FALSE,FALSE,2.3052535
FALSE,35,15,FALSE,FALSE,TRUE,0
FALSE,26,15,FALSE,FALSE,FALSE,3.2509985
FALSE,29,17,FALSE,FALSE,TRUE,0
FALSE,23,12,TRUE,FALSE,FALSE,5.9109063
FALSE,19,12,FALSE,FALSE,TRUE,26.599078
FALSE,48,16,FALSE,FALSE,TRUE,1.1526267
FALSE,48,16,FALSE,FALSE,TRUE,1.1526267
FALSE,22,12,TRUE,FALSE,TRUE,0
FALSE,20,12,TRUE,FALSE,FALSE,2.9554531
FALSE,24,17,FALSE,FALSE,TRUE,24.825806
FALSE,27,16,FALSE,FALSE,TRUE,4.3637266
FALSE,21,14,FALSE,FALSE,FALSE,11.082949
FALSE,53,13,FALSE,FALSE,TRUE,4.728725
FALSE,53,13,FALSE,FALSE,TRUE,4.728725
FALSE,53,16,FALSE,FALSE,TRUE,2.9554531
FALSE,22,15,FALSE,FALSE,TRUE,22.165899
FALSE,21,15,FALSE,FALSE,FALSE,4.1376344
FALSE,30,12,FALSE,FALSE,TRUE,1.4777266
FALSE,21,12,TRUE,FALSE,FALSE,1.1526267
FALSE,27,16,FALSE,FALSE,TRUE,21.427035
FALSE,22,15,FALSE,FALSE,FALSE,5.0242704
FALSE,22,12,TRUE,FALSE,TRUE,0
FALSE,23,13,FALSE,FALSE,TRUE,11.378495
FALSE,33,12,FALSE,FALSE,TRUE,2.7707373
FALSE,24,13,FALSE,FALSE,FALSE,14.777266
FALSE,20,12,TRUE,FALSE,FALSE,17.732719
FALSE,22,16,FALSE,FALSE,FALSE,25.860215
FALSE,19,12,FALSE,FALSE,TRUE,0
FALSE,22,15,FALSE,FALSE,TRUE,25.860215
FALSE,43,14,FALSE,FALSE,TRUE,6.9926022
FALSE,39,12,FALSE,FALSE,TRUE,11.821813
FALSE,28,12,TRUE,FALSE,FALSE,0
FALSE,19,14,FALSE,FALSE,FALSE,0
FALSE,26,17,FALSE,FALSE,TRUE,23.643625
FALSE,18,12,FALSE,FALSE,TRUE,20.688172
FALSE,23,15,FALSE,FALSE,TRUE,9.9746544
FALSE,24,12,TRUE,FALSE,FALSE,11.821813
FALSE,27,12,FALSE,FALSE,TRUE,5.9109063
FALSE,29,17,FALSE,FALSE,TRUE,24.382488
FALSE,22,12,TRUE,FALSE,FALSE,11.821813
FALSE,27,12,FALSE,FALSE,TRUE,1.0905622
FALSE,27,15,FALSE,FALSE,TRUE,19.210445
FALSE,20,12,TRUE,FALSE,FALSE,13.299539
FALSE,27,12,TRUE,FALSE,TRUE,17.732719
FALSE,23,12,TRUE,FALSE,TRUE,8.8663594
FALSE,23,12,TRUE,FALSE,TRUE,9.7529954
FALSE,22,12,FALSE,FALSE,TRUE,39.898618
FALSE,31,12,TRUE,FALSE,TRUE,24.973579
FALSE,26,17,FALSE,FALSE,FALSE,9.4574501
FALSE,20,12,FALSE,FALSE,TRUE,4.4331797
FALSE,30,17,FALSE,FALSE,TRUE,22.476221
FALSE,42,16,FALSE,FALSE,FALSE,16.254992
FALSE,21,14,FALSE,FALSE,TRUE,23.052535
FALSE,25,16,FALSE,FALSE,TRUE,0
FALSE,27,15,FALSE,FALSE,TRUE,0
FALSE,26,17,FALSE,FALSE,TRUE,26.599078
FALSE,29,16,FALSE,FALSE,TRUE,23.643625
FALSE,20,12,FALSE,FALSE,FALSE,0
FALSE,52,12,FALSE,FALSE,TRUE,0
FALSE,23,17,FALSE,FALSE,FALSE,33.987711
FALSE,21,14,FALSE,FALSE,TRUE,17.141628
FALSE,24,16,FALSE,FALSE,FALSE,17.732719
FALSE,30,17,FALSE,FALSE,TRUE,5.172043
FALSE,25,17,FALSE,FALSE,FALSE,5.0301813
FALSE,21,12,FALSE,FALSE,TRUE,7.3886329
FALSE,28,12,FALSE,FALSE,TRUE,9.0141321
FALSE,20,12,FALSE,FALSE,TRUE,15.244227
FALSE,36,16,FALSE,FALSE,FALSE,5.3198157
FALSE,19,12,TRUE,FALSE,FALSE,12.117358
FALSE,21,12,TRUE,FALSE,TRUE,10.048541
FALSE,47,12,FALSE,FALSE,TRUE,5.3198157
FALSE,24,16,FALSE,FALSE,TRUE,33.987711
FALSE,24,12,TRUE,FALSE,TRUE,17.732719
FALSE,25,17,FALSE,FALSE,TRUE,30.10129
FALSE,21,16,FALSE,FALSE,TRUE,16.993856
FALSE,31,12,TRUE,FALSE,TRUE,15.959447
FALSE,26,14,FALSE,FALSE,TRUE,31.032258
FALSE,22,12,TRUE,FALSE,FALSE,5.7631336
FALSE,20,13,TRUE,FALSE,FALSE,14.777266
FALSE,20,13,FALSE,TRUE,TRUE,27.337942
FALSE,27,14,FALSE,FALSE,TRUE,26.007988
FALSE,26,12,FALSE,FALSE,FALSE,10.344086
FALSE,23,17,FALSE,FALSE,TRUE,0
FALSE,23,12,TRUE,FALSE,FALSE,14.186175
FALSE,22,12,TRUE,FALSE,FALSE,0
FALSE,21,12,TRUE,FALSE,FALSE,11.208556
FALSE,21,12,FALSE,FALSE,TRUE,25.121352
FALSE,28,14,FALSE,FALSE,TRUE,13.742857
FALSE,27,12,TRUE,FALSE,TRUE,8.2752688
FALSE,25,14,FALSE,FALSE,FALSE,0
FALSE,30,12,FALSE,FALSE,TRUE,3.2509985
FALSE,27,13,TRUE,FALSE,TRUE,24.514006
FALSE,22,13,FALSE,FALSE,FALSE,17.363287
FALSE,23,16,FALSE,FALSE,TRUE,22.165899
FALSE,24,12,TRUE,FALSE,TRUE,26.599078
FALSE,19,13,FALSE,FALSE,FALSE,17.732719
FALSE,21,14,FALSE,FALSE,TRUE,17.141628
FALSE,29,17,FALSE,FALSE,TRUE,8.8663594
FALSE,27,16,FALSE,FALSE,TRUE,25.121352
FALSE,28,15,FALSE,FALSE,TRUE,9.1619048
FALSE,26,12,FALSE,FALSE,TRUE,2.9554531
FALSE,54,12,FALSE,FALSE,TRUE,0
FALSE,28,15,TRUE,FALSE,FALSE,12.708449
FALSE,27,15,FALSE,FALSE,TRUE,18.471582
FALSE,26,13,FALSE,FALSE,FALSE,9.6052227
FALSE,21,12,FALSE,FALSE,TRUE,0
FALSE,53,14,TRUE,FALSE,TRUE,8.1274962
FALSE,21,13,FALSE,FALSE,TRUE,11.082949
FALSE,22,13,FALSE,FALSE,FALSE,16.254992
FALSE,27,16,FALSE,FALSE,FALSE,0
FALSE,37,15,FALSE,TRUE,TRUE,11.821813
FALSE,33,13,FALSE,FALSE,FALSE,16.254992
FALSE,19,12,TRUE,FALSE,FALSE,3.6943164
FALSE,28,12,FALSE,FALSE,TRUE,15.663902
FALSE,32,12,TRUE,FALSE,TRUE,8.8663594
FALSE,24,12,FALSE,FALSE,FALSE,5.9109063
FALSE,22,12,FALSE,FALSE,FALSE,17.732719
FALSE,20,12,TRUE,FALSE,TRUE,20.688172
FALSE,23,12,FALSE,FALSE,TRUE,12.058249
FALSE,27,12,TRUE,FALSE,TRUE,2.210679
FALSE,23,12,TRUE,FALSE,TRUE,21.870353
FALSE,19,12,FALSE,TRUE,TRUE,13.299539
FALSE,27,14,FALSE,FALSE,FALSE,16.254992
FALSE,22,16,FALSE,FALSE,TRUE,16.254992
FALSE,42,12,FALSE,FALSE,TRUE,15.516129
FALSE,20,13,FALSE,FALSE,FALSE,2.2165899
FALSE,29,13,FALSE,FALSE,FALSE,0
FALSE,23,12,TRUE,FALSE,TRUE,4.4331797
FALSE,19,12,FALSE,FALSE,TRUE,11.963674
FALSE,21,12,TRUE,FALSE,TRUE,10.583478
FALSE,26,12,FALSE,FALSE,TRUE,11.969585
FALSE,21,16,FALSE,FALSE,FALSE,27.337942
FALSE,24,12,TRUE,FALSE,TRUE,8.3358556
FALSE,29,12,FALSE,FALSE,TRUE,14.48172
FALSE,26,12,TRUE,FALSE,TRUE,10.344086
FALSE,23,14,TRUE,FALSE,TRUE,13.003994
FALSE,25,12,FALSE,FALSE,FALSE,15.811674
FALSE,21,12,FALSE,FALSE,TRUE,18.09624
FALSE,25,12,TRUE,FALSE,FALSE,10.344086
FALSE,22,12,FALSE,FALSE,TRUE,15.486575
FALSE,22,12,FALSE,FALSE,TRUE,19.653763
FALSE,23,12,TRUE,FALSE,TRUE,18.471582
FALSE,18,12,FALSE,FALSE,FALSE,22.165899
FALSE,27,12,TRUE,FALSE,FALSE,19.210445
FALSE,21,12,TRUE,FALSE,FALSE,5.5784178
FALSE,25,12,FALSE,FALSE,TRUE,26.599078
FALSE,21,13,FALSE,FALSE,TRUE,28.224578
FALSE,27,12,FALSE,FALSE,TRUE,0
FALSE,23,12,FALSE,FALSE,TRUE,10.416495
FALSE,21,12,FALSE,FALSE,TRUE,17.732719
FALSE,23,14,TRUE,FALSE,TRUE,8.8663594
FALSE,23,16,TRUE,FALSE,FALSE,19.210445
FALSE,31,17,FALSE,FALSE,TRUE,39.817343
FALSE,27,12,TRUE,FALSE,TRUE,6.6497696
FALSE,21,12,TRUE,FALSE,TRUE,7.3886329
FALSE,23,12,TRUE,FALSE,TRUE,10.403195
FALSE,19,12,FALSE,FALSE,TRUE,11.526267
FALSE,46,12,FALSE,FALSE,TRUE,10.376596
FALSE,24,12,FALSE,FALSE,TRUE,2.2165899
FALSE,20,13,FALSE,TRUE,FALSE,8.2752688
FALSE,24,17,FALSE,FALSE,TRUE,22.904762
FALSE,23,12,FALSE,FALSE,TRUE,11.821813
FALSE,34,12,FALSE,FALSE,TRUE,23.475164
FALSE,35,12,FALSE,FALSE,TRUE,11.821813
FALSE,23,12,FALSE,FALSE,FALSE,16.846083
FALSE,21,14,TRUE,FALSE,FALSE,9.900768
FALSE,21,12,FALSE,TRUE,TRUE,10.512547
FALSE,26,12,FALSE,FALSE,TRUE,13.299539
FALSE,23,13,FALSE,FALSE,TRUE,23.643625
FALSE,27,12,FALSE,TRUE,TRUE,14.038402
FALSE,50,12,FALSE,TRUE,TRUE,13.299539
FALSE,27,12,TRUE,FALSE,TRUE,11.821813
FALSE,25,12,FALSE,FALSE,TRUE,25.121352
FALSE,21,12,TRUE,FALSE,TRUE,14.777266
FALSE,21,13,FALSE,FALSE,TRUE,28.787591
FALSE,33,12,TRUE,FALSE,FALSE,0
FALSE,19,12,FALSE,FALSE,TRUE,20.688172
FALSE,20,12,FALSE,FALSE,TRUE,29.258986
FALSE,22,12,TRUE,FALSE,TRUE,11.162747
FALSE,32,12,FALSE,FALSE,TRUE,11.821813
FALSE,24,13,FALSE,FALSE,TRUE,11.526267
FALSE,29,12,TRUE,FALSE,TRUE,19.210445
FALSE,23,12,TRUE,FALSE,TRUE,11.821813
FALSE,26,14,FALSE,FALSE,TRUE,20.688172
FALSE,20,12,FALSE,FALSE,TRUE,10.713518
FALSE,27,12,TRUE,FALSE,TRUE,11.821813
FALSE,24,12,TRUE,FALSE,TRUE,33.987711
FALSE,24,17,FALSE,FALSE,FALSE,36.943164
FALSE,21,13,FALSE,FALSE,FALSE,20.688172
FALSE,25,12,TRUE,FALSE,TRUE,6.6497696
FALSE,30,12,TRUE,FALSE,TRUE,29.554531
FALSE,26,12,TRUE,FALSE,FALSE,15.61957
FALSE,22,12,FALSE,FALSE,FALSE,14.777266
FALSE,47,12,FALSE,FALSE,TRUE,11.28392
FALSE,22,12,FALSE,FALSE,FALSE,19.949309
FALSE,31,12,TRUE,FALSE,TRUE,9.6052227
FALSE,35,12,FALSE,FALSE,TRUE,11.821813
FALSE,49,12,FALSE,FALSE,TRUE,6.5374624
FALSE,25,13,TRUE,FALSE,FALSE,12.48679
FALSE,23,12,FALSE,FALSE,TRUE,9.2210138
FALSE,25,17,FALSE,FALSE,TRUE,49.429954
FALSE,23,16,FALSE,FALSE,TRUE,11.821813
FALSE,34,17,FALSE,FALSE,FALSE,5.9109063
FALSE,21,12,FALSE,FALSE,TRUE,12.117358
FALSE,27,12,TRUE,FALSE,FALSE,8.8663594
FALSE,23,12,FALSE,FALSE,TRUE,11.821813
FALSE,23,12,FALSE,FALSE,TRUE,16.993856
FALSE,32,17,FALSE,FALSE,FALSE,0
FALSE,27,12,TRUE,FALSE,TRUE,7.5364055
FALSE,24,12,TRUE,FALSE,FALSE,8.2752688
FALSE,34,12,FALSE,FALSE,TRUE,14.186175
FALSE,29,12,FALSE,FALSE,TRUE,25.860215
FALSE,28,14,FALSE,FALSE,TRUE,0
FALSE,18,12,FALSE,FALSE,FALSE,21.427035
FALSE,20,12,TRUE,FALSE,FALSE,29.554531
FALSE,25,13,FALSE,FALSE,TRUE,18.966621
FALSE,23,12,TRUE,FALSE,TRUE,29.391982
FALSE,26,17,FALSE,FALSE,TRUE,35.465438
FALSE,24,12,FALSE,FALSE,FALSE,20.132547
FALSE,23,12,FALSE,FALSE,TRUE,31.032258
FALSE,23,16,FALSE,FALSE,FALSE,20.924608
FALSE,26,12,TRUE,FALSE,TRUE,8.8663594
FALSE,46,12,FALSE,FALSE,TRUE,17.732719
FALSE,23,12,TRUE,FALSE,TRUE,14.777266
FALSE,41,12,FALSE,FALSE,TRUE,12.412903
FALSE,19,12,FALSE,FALSE,TRUE,24.338157
FALSE,29,12,FALSE,FALSE,TRUE,26.599078
FALSE,24,12,TRUE,FALSE,FALSE,10.344086
FALSE,23,12,TRUE,FALSE,FALSE,29.216132
FALSE,22,12,FALSE,FALSE,TRUE,13.299539
FALSE,21,12,FALSE,FALSE,FALSE,13.299539
FALSE,27,12,FALSE,FALSE,TRUE,4.1376344
FALSE,37,12,FALSE,FALSE,TRUE,8.8663594
FALSE,44,12,FALSE,FALSE,TRUE,27.78126
FALSE,38,16,FALSE,FALSE,TRUE,17.732719
FALSE,34,12,FALSE,FALSE,TRUE,11.821813
FALSE,49,12,FALSE,FALSE,FALSE,0
FALSE,23,12,FALSE,FALSE,TRUE,17.732719
FALSE,28,14,TRUE,FALSE,TRUE,25.874992
FALSE,43,12,FALSE,FALSE,TRUE,0.29554531
FALSE,28,16,FALSE,FALSE,FALSE,0
FALSE,29,12,TRUE,FALSE,TRUE,20.688172
FALSE,53,12,FALSE,FALSE,TRUE,5.172043
FALSE,21,12,FALSE,FALSE,TRUE,12.560676
FALSE,24,13,TRUE,FALSE,TRUE,31.097278
FALSE,21,12,FALSE,FALSE,TRUE,6.6497696
FALSE,24,12,FALSE,FALSE,TRUE,13.742857
FALSE,21,12,FALSE,FALSE,FALSE,10.048541
FALSE,23,14,FALSE,FALSE,TRUE,25.121352
FALSE,28,12,FALSE,FALSE,TRUE,0
FALSE,28,12,FALSE,FALSE,TRUE,0
FALSE,25,17,FALSE,FALSE,TRUE,28.963441
FALSE,23,13,FALSE,FALSE,TRUE,16.254992
FALSE,30,12,FALSE,FALSE,TRUE,26.599078
FALSE,23,12,FALSE,FALSE,TRUE,14.186175
FALSE,26,12,FALSE,FALSE,TRUE,20.688172
FALSE,21,12,TRUE,FALSE,TRUE,16.254992
FALSE,26,12,FALSE,FALSE,TRUE,17.732719
FALSE,25,12,TRUE,FALSE,TRUE,21.427035
FALSE,22,12,FALSE,FALSE,TRUE,18.102151
FALSE,28,16,FALSE,FALSE,TRUE,20.688172
FALSE,22,13,TRUE,FALSE,TRUE,0
FALSE,24,16,FALSE,FALSE,TRUE,31.032258
FALSE,27,15,TRUE,FALSE,FALSE,18.442028
FALSE,19,12,FALSE,FALSE,FALSE,16.254992
FALSE,38,14,FALSE,FALSE,TRUE,0
FALSE,38,14,FALSE,FALSE,FALSE,7.3886329
FALSE,45,12,FALSE,FALSE,TRUE,16.822439
FALSE,26,12,TRUE,FALSE,TRUE,16.342178
FALSE,31,16,FALSE,FALSE,TRUE,5.3907465
FALSE,25,13,TRUE,FALSE,TRUE,12.656728
FALSE,25,14,FALSE,FALSE,TRUE,14.777266
FALSE,22,12,FALSE,FALSE,TRUE,13.151767
FALSE,36,12,FALSE,FALSE,TRUE,13.299539
FALSE,27,12,FALSE,FALSE,TRUE,20.142891
FALSE,33,12,FALSE,FALSE,TRUE,24.382488
FALSE,27,12,FALSE,FALSE,TRUE,26.599078
FALSE,30,12,TRUE,FALSE,TRUE,18.962187
FALSE,46,12,FALSE,FALSE,TRUE,11.230722
FALSE,23,14,FALSE,FALSE,TRUE,14.186175
FALSE,25,16,FALSE,FALSE,TRUE,21.427035
FALSE,27,14,FALSE,FALSE,TRUE,25.178983
FALSE,49,16,FALSE,FALSE,TRUE,12.560676
FALSE,22,12,FALSE,FALSE,TRUE,14.369413
FALSE,28,16,FALSE,FALSE,TRUE,23.495853
FALSE,24,12,TRUE,FALSE,TRUE,19.210445
FALSE,37,17,TRUE,FALSE,TRUE,4.2366421
FALSE,22,13,FALSE,FALSE,FALSE,17.732719
FALSE,23,17,FALSE,FALSE,FALSE,28.076805
FALSE,23,12,TRUE,FALSE,FALSE,20.688172
FALSE,26,12,FALSE,FALSE,TRUE,14.925038
FALSE,22,12,FALSE,FALSE,FALSE,21.13149
FALSE,31,14,FALSE,FALSE,TRUE,29.850077
FALSE,31,14,FALSE,FALSE,TRUE,29.850077
FALSE,54,12,FALSE,FALSE,TRUE,19.343441
FALSE,25,16,TRUE,FALSE,TRUE,10.521413
FALSE,28,12,TRUE,FALSE,TRUE,17.732719
FALSE,19,13,FALSE,FALSE,TRUE,28.815668
FALSE,26,17,FALSE,FALSE,TRUE,26.599078
FALSE,28,12,FALSE,FALSE,TRUE,16.254992
FALSE,20,12,FALSE,FALSE,TRUE,14.777266
FALSE,26,12,FALSE,FALSE,TRUE,22.165899
FALSE,25,17,FALSE,FALSE,TRUE,36.943164
FALSE,24,12,FALSE,FALSE,TRUE,41.571404
FALSE,22,12,FALSE,FALSE,TRUE,13.595084
FALSE,27,17,FALSE,FALSE,TRUE,29.554531
FALSE,26,12,FALSE,FALSE,TRUE,12.68776
FALSE,27,12,TRUE,FALSE,TRUE,11.526267
FALSE,19,12,FALSE,FALSE,TRUE,24.382488
FALSE,29,17,FALSE,FALSE,TRUE,0
FALSE,20,12,FALSE,FALSE,TRUE,17.289401
FALSE,25,12,FALSE,FALSE,TRUE,14.777266
FALSE,29,16,FALSE,FALSE,TRUE,17.732719
FALSE,23,14,FALSE,FALSE,FALSE,14.777266
FALSE,28,12,FALSE,FALSE,TRUE,10.935177
FALSE,30,14,FALSE,FALSE,TRUE,14.777266
FALSE,26,16,TRUE,FALSE,TRUE,19.934531
FALSE,24,12,FALSE,TRUE,TRUE,21.035438
FALSE,22,12,TRUE,FALSE,TRUE,12.560676
FALSE,27,12,FALSE,FALSE,TRUE,13.246341
FALSE,22,12,TRUE,FALSE,TRUE,13.299539
FALSE,42,13,FALSE,FALSE,TRUE,33.987711
FALSE,22,12,TRUE,FALSE,TRUE,0.66497696
FALSE,47,12,FALSE,FALSE,TRUE,12.560676
FALSE,26,12,FALSE,FALSE,TRUE,22.904762
FALSE,21,12,FALSE,FALSE,TRUE,14.038402
FALSE,25,16,FALSE,FALSE,FALSE,0
FALSE,25,12,TRUE,FALSE,TRUE,17.732719
FALSE,23,12,FALSE,FALSE,FALSE,15.959447
FALSE,33,12,TRUE,FALSE,FALSE,9.6052227
FALSE,55,16,TRUE,FALSE,TRUE,23.531318
FALSE,47,12,TRUE,FALSE,TRUE,14.777266
FALSE,20,12,TRUE,FALSE,TRUE,8.8663594
FALSE,26,12,TRUE,FALSE,TRUE,11.821813
FALSE,31,12,FALSE,FALSE,TRUE,14.777266
FALSE,30,12,FALSE,FALSE,TRUE,2.5638556
FALSE,21,12,TRUE,FALSE,FALSE,11.651874
FALSE,28,17,FALSE,FALSE,TRUE,6.8270968
FALSE,24,12,FALSE,FALSE,TRUE,17.732719
FALSE,28,12,FALSE,FALSE,TRUE,19.210445
FALSE,23,12,FALSE,FALSE,FALSE,22.165899
FALSE,35,12,FALSE,FALSE,FALSE,26.599078
FALSE,27,14,FALSE,FALSE,TRUE,13.447312
FALSE,23,12,FALSE,FALSE,TRUE,24.205161
FALSE,24,12,TRUE,FALSE,TRUE,16.254992
FALSE,24,12,FALSE,FALSE,TRUE,16.254992
FALSE,39,12,TRUE,FALSE,TRUE,14.629493
FALSE,33,12,FALSE,FALSE,TRUE,26.081874
